local,data,hora,lat,long,umidade,t_ex,t1,t2,t3,t4,t5,t6,t7,t8,data_hora,temp,anormal,temp_faixa
1,04/10/2023,00:33:42,-18.918184,-48.230495,62.762627,26.483326,26.302492,26.42568,26.423325,26.379992,26.380825,26.383326,26.365826,26.325825,2023-04-10 00:33:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,00:43:42,-18.918177,-48.230438,64.898987,26.392939,26.186659,26.293434,26.268326,26.240826,26.239992,26.239992,26.239159,26.223326,2023-04-10 00:43:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,00:53:42,-18.918201,-48.230503,66.272728,26.280287,26.111658,26.177492,26.177492,26.130825,26.119991,26.114992,26.114992,26.114992,2023-04-10 00:53:42,3.132804250000003,1,"(1.9, 3.8]"
1,04/10/2023,01:03:42,-18.91818,-48.230476,67.070709,26.217186,26.039158,26.052492,26.052492,26.052492,26.041658,26.052492,26.052492,26.029158,2023-04-10 01:03:42,3.04655425,1,"(1.9, 3.8]"
1,04/10/2023,01:43:42,-18.918163,-48.230495,67.484848,25.94552,25.739992,25.857746,25.807491,25.802492,25.802492,25.802492,25.761658,25.741659,2023-04-10 01:43:42,5.7895027500000005,1,"(5.7, 7.6]"
1,04/10/2023,01:53:42,-18.918182,-48.230465,67.550507,25.848452,25.658325,25.734558,25.730825,25.677492,25.677492,25.677492,25.677492,25.664991,2023-04-10 01:53:42,5.6873333750000015,1,"(3.8, 5.7]"
1,04/10/2023,02:03:42,-18.918175,-48.230495,68.42424,25.737823,25.489992,25.614992,25.614992,25.614992,25.574158,25.554993,25.552492,25.491659,2023-04-10 02:03:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,02:13:42,-18.918165,-48.230503,68.969696,25.602493,25.519991,25.472782,25.489992,25.489992,25.489992,25.489992,25.489992,25.491659,2023-04-10 02:13:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,02:23:42,-18.918177,-48.230465,68.434341,25.547958,25.491659,25.491804,25.499159,25.508326,25.519159,25.514158,25.519991,25.519159,2023-04-10 02:23:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,02:33:42,-18.918194,-48.230484,68.323235,25.515156,25.427492,25.490898,25.493324,25.489992,25.489992,25.489992,25.488325,25.466658,2023-04-10 02:33:42,4.0,0,"(3.8, 5.7]"
